,,Region,total population,percentage immigrants,percentage emigrants,immigrants,emigrants,Consumption Level (Yuan),GDP (Billion Yuan)
北    京,Beijing,Northern China,19612368,35.91882938,1.39893867,7044533,274365,24982,1411.358
天    津,Tianjin,Northern China,12938693,23.12058104,2.110986017,2991501,273134,17852,922.446
河    北,Hebei,Northern China,71854210,1.954893109,4.868542845,1404673,3498253,8057,2039.426
山    西,Shanxi,Northern China,35712101,2.608787985,3.033400359,931653,1083291,8447,920.086
内 蒙 古,Inner Mongolia,Northern China,24706291,5.845397838,4.320988529,1444181,1067556,10925,1167.2
辽    宁,Liaoning,Northeastern China,43746323,4.083840372,2.317973101,1786530,1014028,13016,1845.727
吉    林,Jilin,Northeastern China,27452815,1.662849511,5.000773145,456499,1372853,9241,866.758
黑 龙 江,Heilongjiang,Northeastern China,38313991,1.32170256,6.665053505,506397,2553648,9121,1036.86
上    海,Shanghai,Eastern China,23019196,38.99788681,1.087527123,8977000,250340,32271,1716.598
江    苏,Jiangsu,Eastern China,78660941,9.381089148,3.888689814,7379253,3058880,14035,4142.548
浙    江,Zhejiang,Eastern China,54426891,21.72451298,3.406294142,11823977,1853940,18274,2772.231
安    徽,Anhui,Eastern China,59500468,1.205810684,16.17230137,717463,9622595,8237,1235.933
福    建,Fujian,Eastern China,36894217,11.69181067,4.519011746,4313602,1667254,13187,1473.712
江    西,Jiangxi,Eastern China,44567797,1.346133398,12.9855981,599942,5787395,7989,945.126
山    东,Shandong,Eastern China,95792719,2.208511275,3.231682984,2115593,3095717,11606,3916.992
河    南,Henan,Central China,94029939,0.629729218,9.173917469,592134,8626229,7837,2309.236
湖    北,Hubei,Central China,57237727,1.770880944,10.29005222,1013612,5889792,8977,1596.761
湖    南,Hunan,Central China,65700762,1.103460566,11.00275823,724982,7228896,8922,1603.796
广    东,Guangdong,Southern China,104320459,20.60745055,0.844129721,21497787,880600,17211,4601.306
广    西,Guangxi,Southern China,46023761,1.82906825,9.092186099,841806,4184566,7920,956.985
海    南,Hainan,Southern China,8671485,6.786184835,3.179974364,588463,275751,7553,206.45
重    庆,Chongqing,Southwestern China,28846170,3.276670698,12.15724306,945194,3506899,9723,792.558
四    川,Sichuan,Southwestern China,80417528,1.403391808,11.07361569,1128573,8905128,8182,1718.548
贵    州,Guizhou,Southwestern China,34748556,2.196620775,11.65112012,763294,4048596,6218,460.216
云    南,Yunan,Southwestern China,45966766,2.690093534,3.225030014,1236549,1482442,6811,722.418
西    藏,Tibet,Southwestern China,3002165,5.510123528,1.838173451,165423,55185,4469,50.746
陕    西,Shaanxi,Northwestern China,37327379,2.610314536,5.252439503,974362,1960598,8474,1012.348
甘    肃,Gansu,Northwestern China,25575263,1.692389243,6.229711108,432833,1593265,6234,412.075
青    海,Qinghai,Northwestern China,5626723,5.65933315,4.302433228,318435,242086,7326,135.043
宁    夏,Ningxia,Northwestern China,6301350,5.847175605,3.583263904,368451,225794,8992,168.965
新    疆,Xinjiang,Northwestern China,21815815,8.212583394,1.362594063,1791642,297261,7400,543.747
