Male,Female,
41062566,34470044,0-4
38464665,32416884,5-9
40267277,34641185,10-14
51904830,47984284,15-19
64008573,63403945,20-24
50837038,50176814,25-29
49521822,47616381,30-34
60391104,57634855,35-39
63608678,61145286,40-44
53776418,51818135,45-49
40363234,38389937,50-54
41082938,40229536,55-59
29834426,28832856,60-64
20748471,20364811,65-69
16403453,16568944,70-74
11278859,12573274,75-79
5917502,7455696,80-84
2199810,3432118,85-89
530872,1047435,90-94
117716,252263,95-99
8852,27082,100 & 100+
64008573,63403945,
