case,home,residence,home_locals,migrants,residence_locals
1,Anhui,Anhui,478.7099,1338.954,1010.494
2,Anhui,Chongqing,478.7099,900,927.9487
3,Anhui,Guangdong,478.7099,1503.2,1688.93
4,Anhui,Henan,478.7099,605,788.5586
5,Anhui,Hubei,478.7099,848.3333,953.4971
6,Anhui,Jiangsu,478.7099,1528.296,1247.603
7,Anhui,Shanghai,478.7099,1602.373,1744.824
8,Anhui,Zhejiang,478.7099,1435.884,1434.898
9,Chongqing,Chongqing,299.4672,1123.077,927.9487
10,Chongqing,Guangdong,299.4672,1558.947,1688.93
11,Chongqing,Henan,299.4672,1000,788.5586
12,Chongqing,Hubei,299.4672,1190.8,953.4971
13,Chongqing,Jiangsu,299.4672,1358.333,1247.603
14,Chongqing,Shanghai,299.4672,1320,1744.824
15,Chongqing,Sichuan,299.4672,1613.03,1000.112
16,Chongqing,Zhejiang,299.4672,2256.471,1434.898
17,Guangdong,Guangdong,442.464,1918.146,1688.93
18,Guangdong,Jiangsu,442.464,2030,1247.603
19,Guangdong,Zhejiang,442.464,1566.667,1434.898
20,Hebei,Anhui,304.1666,1280,1010.494
21,Hebei,Chongqing,304.1666,2000,927.9487
22,Hebei,Guangdong,304.1666,2085,1688.93
23,Hebei,Henan,304.1666,2111.111,788.5586
24,Hebei,Hubei,304.1666,500,953.4971
25,Hebei,Jiangsu,304.1666,2172,1247.603
27,Hebei,Sichuan,304.1666,333.3333,1000.112
28,Hebei,Zhejiang,304.1666,814.2857,1434.898
29,Henan,Anhui,368.417,1138.108,1010.494
30,Henan,Chongqing,368.417,1342,927.9487
31,Henan,Guangdong,368.417,1952.606,1688.93
32,Henan,Henan,368.417,1081.787,788.5586
33,Henan,Hubei,368.417,930,953.4971
34,Henan,Jiangsu,368.417,2221.136,1247.603
35,Henan,Shanghai,368.417,1560.984,1744.824
36,Henan,Sichuan,368.417,933.3333,1000.112
37,Henan,Zhejiang,368.417,1516.381,1434.898
38,Hubei,Anhui,469.712,1522.222,1010.494
39,Hubei,Chongqing,469.712,1250,927.9487
40,Hubei,Guangdong,469.712,1973.127,1688.93
41,Hubei,Henan,469.712,1488.889,788.5586
42,Hubei,Hubei,469.712,1172.126,953.4971
43,Hubei,Jiangsu,469.712,1393,1247.603
44,Hubei,Shanghai,469.712,1560,1744.824
45,Hubei,Sichuan,469.712,1677.778,1000.112
46,Hubei,Zhejiang,469.712,1823.115,1434.898
47,Jiangsu,Anhui,798.4797,1688.889,1010.494
48,Jiangsu,Chongqing,798.4797,1333.333,927.9487
49,Jiangsu,Guangdong,798.4797,1781.111,1688.93
50,Jiangsu,Henan,798.4797,3450,788.5586
51,Jiangsu,Hubei,798.4797,2066.667,953.4971
52,Jiangsu,Jiangsu,798.4797,1546.748,1247.603
53,Jiangsu,Shanghai,798.4797,1849.418,1744.824
54,Jiangsu,Zhejiang,798.4797,1263.684,1434.898
57,Sichuan,Anhui,406.2444,1580,1010.494
58,Sichuan,Chongqing,406.2444,1140.756,927.9487
59,Sichuan,Guangdong,406.2444,1738.846,1688.93
60,Sichuan,Henan,406.2444,1733.333,788.5586
61,Sichuan,Hubei,406.2444,1053.478,953.4971
62,Sichuan,Jiangsu,406.2444,1346.5,1247.603
63,Sichuan,Shanghai,406.2444,1476.25,1744.824
64,Sichuan,Sichuan,406.2444,1472.195,1000.112
65,Sichuan,Zhejiang,406.2444,1340.678,1434.898
66,Zhejiang,Anhui,813.9798,2240,1010.494
67,Zhejiang,Chongqing,813.9798,1000,927.9487
68,Zhejiang,Guangdong,813.9798,2200,1688.93
69,Zhejiang,Henan,813.9798,2500,788.5586
70,Zhejiang,Hubei,813.9798,4166.667,953.4971
71,Zhejiang,Jiangsu,813.9798,2509.091,1247.603
72,Zhejiang,Shanghai,813.9798,1842.105,1744.824
73,Zhejiang,Zhejiang,813.9798,1709.055,1434.898
,,,0,0,0
,,,4167,4167,4167
